City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Guerrero Negro,MX,27.9769,-114.0611,57.76,93,7,10.78,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,75.42,89,99,12.41,overcast clouds
81,Opuwo,NA,-18.0607,13.84,71.87,48,9,1.48,clear sky
82,Labuhan,ID,-6.8844,112.2051,84.99,67,83,4.0,broken clouds
83,Castro,BR,-24.7911,-50.0119,60.39,98,66,1.32,broken clouds
84,Farah,AF,32.5,62.5,88.97,5,0,4.88,clear sky
85,Tiksi,RU,71.6872,128.8694,-0.9,93,100,3.44,overcast clouds
86,Shingu,JP,33.7333,135.9833,60.46,61,90,6.38,overcast clouds
87,Aswan,EG,24.0934,32.907,94.3,15,0,8.05,clear sky
88,Lerwick,GB,60.1545,-1.1494,37.4,58,100,12.71,overcast clouds
89,Humboldt,US,40.6665,-123.9178,36.72,98,44,1.99,scattered clouds
90,Salalah,OM,17.0151,54.0924,86.09,62,0,10.36,clear sky
91,Tazmalt,DZ,36.3868,4.3989,61.72,69,12,4.45,few clouds
92,Lompoc,US,34.6391,-120.4579,63.57,89,0,10.36,clear sky
93,Sorland,NO,67.667,12.6934,30.94,50,36,10.63,scattered clouds
94,Vicksburg,US,32.3526,-90.8779,67.68,92,100,14.97,thunderstorm with light rain
95,Maniitsoq,GL,65.4167,-52.9,22.21,86,54,3.65,broken clouds
96,Saint-Pierre,RE,-21.3393,55.4781,83.91,71,100,3.44,overcast clouds
97,Nakhodka,RU,42.8333,132.8947,44.02,80,38,4.7,scattered clouds
98,Port Elizabeth,ZA,-33.918,25.5701,72.1,62,20,21.85,few clouds
99,Port Alfred,ZA,-33.5906,26.891,71.19,65,0,3.0,clear sky
100,Narsaq,GL,60.9167,-46.05,43.02,73,60,4.61,broken clouds
101,Moron,AR,-34.6534,-58.6198,55.15,76,0,4.61,clear sky
102,Geraldton,AU,-28.7667,114.6,77.41,57,0,19.57,clear sky
103,Ilulissat,GL,69.2167,-51.1,24.82,80,34,0.0,scattered clouds
104,Butaritari,KI,3.0707,172.7902,81.63,82,46,16.31,light rain
105,Urusha,RU,54.05,122.9,24.51,51,100,12.57,overcast clouds
106,Nikolskoye,RU,59.7035,30.7861,36.88,92,100,18.01,light snow
107,Taksimo,RU,56.3444,114.8794,24.19,48,100,7.29,overcast clouds
108,Biltine,TD,14.5333,20.9167,97.88,8,41,21.99,scattered clouds
109,Saldanha,ZA,-33.0117,17.9442,62.65,77,55,12.55,light rain
110,Kununurra,AU,-15.7667,128.7333,98.58,25,10,4.61,clear sky
111,New Amsterdam,GY,6.25,-57.5167,73.58,89,98,4.63,overcast clouds
112,Mpanda,TZ,-6.3655,31.0409,76.95,72,90,3.15,overcast clouds
113,Atuona,PF,-9.8,-139.0333,79.21,76,16,23.02,few clouds
114,Ahja,EE,58.2091,27.0734,35.78,96,100,17.45,overcast clouds
115,Poronaysk,RU,49.2167,143.1167,36.79,90,100,13.87,overcast clouds
116,Katsuura,JP,35.1333,140.3,56.16,80,81,13.6,broken clouds
117,Lebu,CL,-37.6167,-73.65,52.36,87,22,11.92,few clouds
118,Skibbereen,IE,51.55,-9.2667,52.11,77,100,15.26,overcast clouds
119,Kimamba,TZ,-6.7833,37.1333,84.54,60,61,3.56,broken clouds
120,Masallatah,LY,32.6167,14.0,67.08,62,100,13.53,overcast clouds
121,Komsomolskiy,UZ,40.4272,71.7189,79.52,22,0,4.61,clear sky
122,Lata,PT,40.1629,-8.3327,42.93,51,100,5.26,overcast clouds
123,Torbay,CA,47.6666,-52.7314,34.88,94,75,8.05,broken clouds
124,Portland,US,45.5234,-122.6762,42.84,88,20,9.22,few clouds
125,Karpathos,GR,35.507,27.2132,66.16,72,100,14.97,overcast clouds
126,Oro Valley,US,32.3909,-110.9665,65.91,40,0,1.99,clear sky
127,Kieta,PG,-6.2167,155.6333,79.11,89,100,6.38,moderate rain
128,Manaus,BR,-3.1019,-60.025,77.49,100,75,0.0,broken clouds
129,Pisco,PE,-13.7,-76.2167,66.25,82,0,4.61,clear sky
130,Ust-Maya,RU,60.4167,134.5333,25.47,83,100,7.78,overcast clouds
131,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,68,100,2.51,overcast clouds
132,Karlskrona,SE,56.1616,15.5866,36.05,59,12,15.12,few clouds
133,Carmo Do Rio Claro,BR,-20.9719,-46.1189,65.01,94,94,0.72,overcast clouds
134,Ostrovnoy,RU,68.0531,39.5131,23.43,89,100,13.24,overcast clouds
135,Bengkulu,ID,-3.8004,102.2655,85.73,61,34,10.02,scattered clouds
136,Doka,SD,13.5167,35.7667,100.53,15,100,9.71,overcast clouds
137,Cherskiy,RU,68.75,161.3,-10.26,98,76,4.52,broken clouds
138,Taltal,CL,-25.4,-70.4833,61.57,78,22,1.14,few clouds
139,Hithadhoo,MV,-0.6,73.0833,83.14,66,9,3.44,clear sky
140,Korla,CN,41.7597,86.1469,75.61,13,11,17.05,few clouds
141,Borda Da Mata,BR,-22.2742,-46.1653,63.75,95,97,1.28,overcast clouds
142,Nizhnevartovsk,RU,60.9344,76.5531,44.62,70,0,13.42,clear sky
143,Samarai,PG,-10.6167,150.6667,81.37,81,94,16.35,overcast clouds
144,Hyeres,FR,43.1167,6.1167,57.72,49,0,2.3,clear sky
145,Carnarvon,AU,-24.8667,113.6333,82.47,65,0,19.57,clear sky
146,San Quintin,MX,30.4833,-115.95,58.71,90,0,5.93,clear sky
147,Chokurdakh,RU,70.6333,147.9167,-7.33,95,28,8.63,scattered clouds
148,Bathsheba,BB,13.2167,-59.5167,77.61,78,40,18.41,scattered clouds
149,Hokitika,NZ,-42.7167,170.9667,62.04,88,100,10.56,overcast clouds
150,Camana,PE,-16.6228,-72.7111,68.16,85,99,5.35,overcast clouds
151,Leningradskiy,RU,69.3833,178.4167,-14.85,96,14,8.28,few clouds
152,Bibai,JP,43.3247,141.8586,52.99,79,61,10.04,broken clouds
